time, input_signal, output_signal
0.,0,0.
0.1,0,0.
0.2,0,0.
0.30000000000000004,0,0.
0.4,0,0.
0.5,0,0.
0.6000000000000001,0,0.
0.7000000000000001,0,0.
0.8,0,0.
0.9,0,0.
1.,1,0.
1.1,1,0.09516258196404048
1.2000000000000002,1,0.1812692469220183
1.3,1,0.2591817793182821
1.4000000000000001,1,0.3296799539643608
1.5,1,0.3934693402873666
1.6,1,0.4511883639059736
1.7000000000000002,1,0.5034146962085906
1.8,1,0.5506710358827784
1.9000000000000001,1,0.593430340259401
2.,1,0.6321205588285577
2.1,1,0.6671289163019205
2.2,1,0.698805788087798
2.3000000000000003,1,0.7274682069659875
2.4000000000000004,1,0.7534030360583936
2.5,1,0.7768698398515702
2.6,1,0.7981034820053446
2.7,1,0.8173164759472654
2.8000000000000003,1,0.8347011117784136
2.9000000000000004,1,0.850431380777365
3.,1,0.8646647167633873
3.1,1,0.8775435717470181
3.2,1,0.8891968416376661
3.3000000000000003,1,0.8997411562771963
3.4000000000000004,1,0.9092820467105875
3.5,1,0.9179150013761012
3.6,1,0.9257264217856661
3.7,1,0.9327944872602503
3.8000000000000003,1,0.9391899373747821
3.9000000000000004,1,0.9449767799435927
4.,1,0.950212931632136
4.1000000000000005,1,0.9549507976064422
4.2,1,0.9592377960216338
4.3,1,0.96311683259876
4.4,1,0.9666267300396739
4.5,1,0.9698026165776815
4.6000000000000005,1,0.9726762775527075
4.7,1,0.9752764735296606
4.800000000000001,1,0.9776292281438345
4.9,1,0.9797580885541957
5.,1,0.9816843611112658
5.1000000000000005,1,0.9834273245982388
5.2,1,0.9850044231795223
5.300000000000001,1,0.9864314409877991
5.4,1,0.9877226600969315
5.5,1,0.9888910034617577
5.6000000000000005,1,0.9899481642553665
5.7,1,0.9909047228983042
5.800000000000001,1,0.99177025295098
5.9,1,0.9925534169290756
6.,1,0.9932620530009145
6.1000000000000005,1,0.9939032534344844
6.2,1,0.9944834355792392
6.300000000000001,1,0.9950084060930898
6.4,1,0.9954834190573874
6.5,1,0.995913228561536
6.6000000000000005,1,0.996302136283517
6.7,1,0.9966540345425288
6.800000000000001,1,0.9969724452546241
6.9,1,0.9972605551812316
7.,1,0.9975212478233336
7.1000000000000005,1,0.9977571322805142
7.2,1,0.9979705693637043
7.300000000000001,1,0.9981636952229711
7.4,1,0.998338442726826
7.5,1,0.9984965608070224
7.6000000000000005,1,0.9986396319624521
7.7,1,0.9987690880973266
7.800000000000001,1,0.9988862248521552
7.9,1,0.9989922145709514
8.,1,0.9990881180344455
8.1,1,0.9991748950767341
8.200000000000001,1,0.9992534141916233
8.3,1,0.9993244612248061
8.4,1,0.9993887472388704
8.5,1,0.9994469156298522
8.6,1,0.9994995485665594
8.700000000000001,1,0.9995471728171132
8.8,1,0.9995902650210202
8.9,1,0.9996292564595409
9.,1,0.9996645373720975
9.1,1,0.9996964608619211
9.200000000000001,1,0.9997253464300279
9.3,1,0.9997514831728921
9.4,1,0.9997751326758212
9.5,1,0.9997965316309894
9.600000000000001,1,0.9998158942063324
9.700000000000001,1,0.9998334141890124
9.8,1,0.9998492669249045
9.9,1,0.999863611073518
10.,1,0.9998765901959134
10.100000000000001,1,0.9998883341915099
10.200000000000001,1,0.9998989605981629
10.3,1,0.9999085757685219
10.4,1,0.9999172759344434
10.5,1,0.9999251481701124
10.600000000000001,1,0.9999322712635091
10.700000000000001,1,0.9999387165049468
10.8,1,0.9999445484005678
10.9,1,0.9999498253179439
11.,1,0.9999546000702375
11.100000000000001,1,0.9999589204447747
11.200000000000001,1,0.9999628296813159
11.3,1,0.9999663669048143
11.4,1,0.9999695675169916
11.5,1,0.9999724635506503
11.600000000000001,1,0.9999750839902685
11.700000000000001,1,0.9999774550620868
11.8,1,0.9999796004965888
11.9,1,0.9999815417660042
12.,1,0.9999832982992097
12.100000000000001,1,0.9999848876761801
12.200000000000001,1,0.9999863258039343
12.3,1,0.9999876270757382
12.4,1,0.9999888045151574
12.5,1,0.9999898699064014
12.600000000000001,1,0.9999908339122637
12.700000000000001,1,0.9999917061808392
12.8,1,0.9999924954420849
12.9,1,0.9999932095951927
13.,1,0.9999938557876467
13.100000000000001,1,0.9999944404867583
13.200000000000001,1,0.9999949695443929
13.3,1,0.9999954482555369
13.4,1,0.9999958814112925
13.5,1,0.999996273346828
13.600000000000001,1,0.9999966279847659
13.700000000000001,1,0.999996948874442
13.8,1,0.999997239227428
13.9,1,0.9999975019496742
14.,1,0.999997739670593
14.100000000000001,1,0.9999979547693755
14.200000000000001,1,0.9999981493988024
14.3,1,0.9999983255067906
14.4,1,0.9999984848558878
14.5,1,0.9999986290409136
14.600000000000001,1,0.99999875950492
14.700000000000001,1,0.9999988775536348
14.8,1,0.999998984368529
14.9,1,0.9999990810186421
15.,1,0.9999991684712809
15.100000000000001,1,0.9999992476017008
15.200000000000001,1,0.9999993192018656
15.3,1,0.9999993839883738
15.4,1,0.9999994426096307
15.5,1,0.9999994956523375
15.600000000000001,1,0.9999995436473632
15.700000000000001,1,0.9999995870750584
15.8,1,0.999999626370062
15.9,1,0.9999996619256516
16.,1,0.9999996940976795
16.1,1,0.9999997232081341
16.2,1,0.9999997495483628
16.3,1,0.9999997733819872
16.400000000000002,1,0.9999997949475424
16.5,1,0.9999998144608637
16.6,1,0.999999832117247
16.7,1,0.9999998480934033
16.8,1,0.9999998625492272
16.900000000000002,1,0.9999998756293976
17.,1,0.9999998874648253
17.1,1,0.9999998981739631
17.2,1,0.9999999078639916
17.3,1,0.9999999166318921
17.400000000000002,1,0.9999999245654165
17.5,1,0.9999999317439663
